,idx1,score1,idx2,score2,idx3,score3,label_list,professionals_id
0,65.0,0.26323131,25.0,0.11275552,47.0,0.10777462,"[65.0, 0.26323131, 25.0, 0.11275552, 47.0, 0.10777462]",9ced4ce7519049c0944147afb75a8ce3
1,88.0,10.997503746,65.0,2.026985532,67.0,1.82514441,"[88.0, 10.997503746, 65.0, 2.026985532, 67.0, 1.82514441]",0c673e046d824ec0ad0ebe012a0673e4
2,88.0,6.339289119,65.0,2.203851519,15.0,1.361810084,"[88.0, 6.339289118999999, 65.0, 2.2038515189999996, 15.0, 1.361810084]",977428d851b24183b223be0eb8619a8c
3,86.0,0.41567871,58.0,0.35177255,32.0,0.31237078,"[86.0, 0.41567871, 58.0, 0.35177255, 32.0, 0.31237078]",c9bfa93898594cbbace436deca644c64
4,33.0,0.39654979,29.0,0.13142495,73.0,0.089896843,"[33.0, 0.39654979, 29.0, 0.13142495, 73.0, 0.089896843]",5a4a16842ec64430ac3f916aacf35fe1
5,42.0,1.24963752,45.0,0.225201893,67.0,0.2070678,"[42.0, 1.24963752, 45.0, 0.22520189300000001, 67.0, 0.2070678]",81999d5ad93549dab55636a545e84f2a
6,32.0,8.59883329,65.0,2.086805927,95.0,1.372996072,"[32.0, 8.59883329, 65.0, 2.0868059270000003, 95.0, 1.372996072]",7d425e8d7cfb4fe7b0702fff4d6d84e7
7,19.0,0.55227746,73.0,0.37367019,50.0,0.16051638,"[19.0, 0.55227746, 73.0, 0.37367019, 50.0, 0.16051638]",7daf1e6dfb3443b99b240890f0a4d69b
8,18.0,3.35544731,4.0,0.86393505,91.0,0.76208252,"[18.0, 3.35544731, 4.0, 0.86393505, 91.0, 0.7620825199999999]",68ecc66323b8418092fdd724aaf5be94
9,22.0,0.85857147,-1.0,-1.0,-1.0,-1.0,"[22.0, 0.85857147, -1, -1, -1, -1]",2b17cd431763494fa6096617645ba173
10,22.0,0.21087679,65.0,0.20571133,10.0,0.19568536,"[22.0, 0.21087679, 65.0, 0.20571133, 10.0, 0.19568536]",4ca2656185ca4ed298111128d2e1679e
11,51.0,0.352030741,29.0,0.31905904,19.0,0.30247182,"[51.0, 0.35203074100000004, 29.0, 0.31905904, 19.0, 0.30247182]",971937860c164896a0771bf502bad482
